scenario,hour,solar_elevation_deg,solar_azimuth_deg,dni,dhi,energy_kwh,shading_loss_kwh
Bioinspirado optimizado,6.0,7.607054273867325,67.7521609746175,81.0155979447874,22.412449393276145,0.3069923661191963,0.5056297323210469
Bioinspirado optimizado,7.0,20.873059434900977,71.51199943342299,218.0548016435554,36.769508807996374,1.466572550975265,0.6092786178699284
Bioinspirado optimizado,8.0,34.3994558271199,74.34228343198038,345.7550100782443,46.30087964555104,2.681614445706799,0.4079901647107836
Bioinspirado optimizado,9.0,48.08528244081598,76.18761221615944,455.4136650786025,53.13834572023705,3.618660979815786,0.0
Bioinspirado optimizado,10.0,61.839648655303606,76.39822464121113,539.5577105258513,57.8394231134754,3.532866686336568,0.0
Bioinspirado optimizado,11.0,75.48001389726356,71.27193074405662,592.4528687773704,60.60827234015661,2.851027258478197,0.0
Bioinspirado optimizado,12.0,85.98021715318639,0.0,610.4944222117012,61.524182433393136,1.7386032188593066,0.0
Bioinspirado optimizado,13.0,75.48001389726356,288.7280692559434,592.4528687773704,60.60827234015661,1.0943602140347186,0.0
Bioinspirado optimizado,14.0,61.839648655303606,283.60177535878887,539.5577105258513,57.8394231134754,0.9613777400393131,0.0
Bioinspirado optimizado,15.0,48.08528244081598,283.81238778384056,455.4136650786025,53.13834572023705,0.8805643687868515,0.0
Bioinspirado optimizado,16.0,34.3994558271199,285.6577165680196,345.7550100782443,46.30087964555104,0.6201349670017451,0.09173578474405364
Bioinspirado optimizado,17.0,20.873059434900977,288.488000566577,218.0548016435554,36.769508807996374,0.34981185548907556,0.13406255434427272
Bioinspirado optimizado,18.0,7.607054273867325,292.2478390253825,81.0155979447874,22.412449393276145,0.10353356292258074,0.12131423651693427
