panel_id,x,y,z,width,height,azimuth,tilt,level,scenario,area
bio_1,0.0,0.0,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
bio_2,0.4275,3.557289102448625,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
bio_3,0.855,6.857341394419538,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
bio_4,2.4225,0.04692240267990585,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
bio_5,3.192,3.0258631703101138,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
bio_6,3.9614999999999996,6.236157678674506,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
bio_7,4.845,-0.09290565315114284,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
bio_8,5.9565,3.495948044073997,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
bio_9,7.068,6.883961617002274,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
bio_10,7.267499999999999,0.13702939634288405,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
bio_11,8.721,3.096612980629284,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
bio_12,10.174499999999998,6.22250325632189,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
bio_13,9.69,-0.1784104952351446,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
bio_14,11.4855,3.4172055397448573,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
bio_15,13.280999999999999,6.884376945768543,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
bio_16,12.112499999999999,0.21622070685224132,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
bio_17,14.25,3.181772147208865,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
bio_18,16.387499999999996,6.235335333950046,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
