source,target,shade_factor,hour
bio_4,bio_1,0.5596336997861742,6.0
bio_6,bio_2,0.509110783947974,6.0
bio_7,bio_4,0.559500264919671,6.0
bio_8,bio_1,0.41301802569853274,6.0
bio_8,bio_5,0.553782209370959,6.0
bio_9,bio_2,0.4140341061408415,6.0
bio_9,bio_6,0.5491815765154896,6.0
bio_10,bio_7,0.5592445746377848,6.0
bio_11,bio_1,0.33245906107038903,6.0
bio_11,bio_4,0.40988364244751496,6.0
bio_11,bio_8,0.5541592772109006,6.0
bio_12,bio_2,0.3289638845122147,6.0
bio_12,bio_5,0.40601959758596606,6.0
bio_12,bio_8,0.49043180855037916,6.0
bio_13,bio_10,0.5588879155500076,6.0
bio_14,bio_1,0.23883395419724462,6.0
bio_14,bio_4,0.31822213227972884,6.0
bio_14,bio_7,0.3922761858584941,6.0
bio_14,bio_10,0.4666586784480851,6.0
bio_14,bio_11,0.5545081019039503,6.0
bio_15,bio_1,0.174735267274231,6.0
bio_15,bio_5,0.30682456470656283,6.0
bio_15,bio_8,0.3936017581174852,6.0
bio_15,bio_12,0.549089376062133,6.0
bio_16,bio_13,0.5584596861201531,6.0
bio_17,bio_7,0.30829152058819126,6.0
bio_17,bio_10,0.38862771973555293,6.0
bio_17,bio_13,0.4556447676513577,6.0
bio_17,bio_14,0.5548004453880453,6.0
bio_18,bio_1,0.09294490734249793,6.0
bio_18,bio_4,0.164712439123105,6.0
bio_18,bio_7,0.2317899480481773,6.0
bio_18,bio_8,0.30736330688051905,6.0
bio_18,bio_11,0.38680828728874767,6.0
bio_18,bio_14,0.4703585439478517,6.0
bio_4,bio_1,0.3919852035831212,7.0
bio_5,bio_2,0.37420691184274496,7.0
bio_6,bio_2,0.24773165094751287,7.0
bio_7,bio_4,0.3916042189701152,7.0
bio_8,bio_5,0.37527796753777437,7.0
bio_9,bio_6,0.36214219295384253,7.0
bio_10,bio_7,0.3908741694287427,7.0
bio_11,bio_8,0.3763545755401788,7.0
bio_12,bio_8,0.19439924690881188,7.0
bio_13,bio_10,0.3898558327069191,7.0
bio_14,bio_11,0.37735054341702495,7.0
bio_15,bio_12,0.3618789412643734,7.0
bio_16,bio_13,0.3886331476030455,7.0
bio_17,bio_14,0.3781852455610109,7.0
bio_18,bio_14,0.13708585388964245,7.0
bio_4,bio_1,0.1867122786324698,8.0
bio_5,bio_2,0.1547898292823235,8.0
bio_6,bio_3,0.13399426904893247,8.0
bio_7,bio_4,0.18602818804663193,8.0
bio_8,bio_5,0.15671300174878225,8.0
bio_9,bio_6,0.13312659058205742,8.0
bio_10,bio_7,0.1847173214095054,8.0
bio_11,bio_8,0.1586461438598808,8.0
bio_12,bio_9,0.13266799228975665,8.0
bio_13,bio_10,0.18288881038614432,8.0
bio_14,bio_11,0.1604344897013874,8.0
