panel_id,x,y,z,width,height,azimuth,tilt,level,scenario,area
bio_1,0.0,0.0,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
bio_2,0.45,3.7445148446827634,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
bio_3,0.9,7.218254099388988,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
bio_4,2.55,0.049392002820953525,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
bio_5,3.3600000000000003,3.185119126642225,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
bio_6,4.17,6.564376503867901,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
bio_7,5.1,-0.09779542436962405,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
bio_8,6.2700000000000005,3.679945309551576,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
bio_9,7.4399999999999995,7.2462753863181835,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
bio_10,7.6499999999999995,0.1442414698346148,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
bio_11,9.18,3.25959261118872,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
bio_12,10.709999999999999,6.550003427707253,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
bio_13,10.2,-0.1878005213001522,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
bio_14,12.09,3.597058462889324,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
bio_15,13.979999999999999,7.246712574493204,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
bio_16,12.75,0.22760074405499087,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
bio_17,15.0,3.3492338391672267,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
bio_18,17.249999999999996,6.5635108778421545,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
