source,target,shade_factor,hour
bio_4,bio_1,0.5406092155306319,6.0
bio_6,bio_2,0.47944989635807383,6.0
bio_7,bio_4,0.5404476891132859,6.0
bio_8,bio_1,0.36312708374032926,6.0
bio_8,bio_5,0.533525832396424,6.0
bio_9,bio_2,0.364357075854703,6.0
bio_9,bio_6,0.5279566452555927,6.0
bio_10,bio_7,0.540138169298371,6.0
bio_11,bio_1,0.2656083370852079,6.0
bio_11,bio_4,0.3593328303312024,6.0
bio_11,bio_8,0.5339822829395113,6.0
bio_12,bio_2,0.26137733388320733,6.0
bio_12,bio_5,0.3546553023409063,6.0
bio_12,bio_8,0.45683850508730117,6.0
bio_13,bio_10,0.5397064240868512,6.0
bio_14,bio_1,0.15227268139666458,6.0
bio_14,bio_4,0.24837416012809294,6.0
bio_14,bio_7,0.33801854077607185,6.0
bio_14,bio_11,0.5344045444100451,6.0
bio_15,bio_1,0.07467953406880615,6.0
bio_15,bio_5,0.23457710464478673,6.0
bio_15,bio_8,0.33962318087906124,6.0
bio_15,bio_12,0.5278450341804768,6.0
bio_16,bio_13,0.5391880410928168,6.0
bio_17,bio_7,0.23635289334360002,6.0
bio_17,bio_10,0.3336019765219852,6.0
bio_17,bio_14,0.5347584338907917,6.0
bio_18,bio_4,0.06254663683323254,6.0
bio_18,bio_8,0.23522926622378618,6.0
bio_18,bio_11,0.33139950566532617,6.0
bio_18,bio_14,0.4325392900421364,6.0
bio_4,bio_1,0.33766629907430473,7.0
bio_5,bio_2,0.3161452090727965,7.0
bio_6,bio_2,0.1630435774627788,7.0
bio_7,bio_4,0.33720510717435,7.0
bio_8,bio_5,0.3174417501773058,7.0
bio_9,bio_6,0.3015405493651778,7.0
bio_10,bio_7,0.33632136299268844,7.0
bio_11,bio_8,0.318745012496006,7.0
bio_12,bio_8,0.09848329888961438,7.0
bio_13,bio_10,0.33508863959258633,7.0
bio_14,bio_11,0.31995065782060905,7.0
bio_15,bio_12,0.30122187626739944,7.0
bio_16,bio_13,0.3336085470984234,7.0
bio_17,bio_14,0.32096108673175017,7.0
bio_18,bio_14,0.029103928392725128,7.0
bio_4,bio_1,0.08917802150246351,8.0
bio_5,bio_2,0.05053505649965476,8.0
bio_6,bio_3,0.025361483585549734,8.0
bio_7,bio_4,0.08834991184592295,8.0
bio_8,bio_5,0.0528631073801048,8.0
bio_9,bio_6,0.024311135967753767,8.0
bio_10,bio_7,0.08676307328519064,8.0
bio_11,bio_8,0.055203226777750684,8.0
bio_12,bio_9,0.023755990666547443,8.0
bio_13,bio_10,0.08454961257270117,8.0
bio_14,bio_11,0.05736806648062678,8.0
bio_15,bio_12,0.023738931057875872,8.0
bio_16,bio_13,0.08189197941151592,8.0
bio_17,bio_14,0.05918237835090446,8.0
bio_18,bio_15,0.024261273205149963,8.0
bio_1,bio_4,0.08917802150246351,16.0
bio_2,bio_5,0.05053505649965476,16.0
bio_3,bio_6,0.025361483585549734,16.0
bio_4,bio_7,0.08834991184592295,16.0
bio_5,bio_8,0.0528631073801048,16.0
bio_6,bio_9,0.024311135967753767,16.0
bio_7,bio_10,0.08676307328519064,16.0
bio_8,bio_11,0.055203226777750684,16.0
bio_9,bio_12,0.023755990666547443,16.0
bio_10,bio_13,0.08454961257270117,16.0
bio_11,bio_14,0.05736806648062678,16.0
bio_12,bio_15,0.023738931057875872,16.0
bio_13,bio_16,0.08189197941151592,16.0
bio_14,bio_17,0.05918237835090446,16.0
bio_15,bio_18,0.024261273205149963,16.0
bio_1,bio_4,0.33766629907430473,17.0
bio_2,bio_5,0.3161452090727965,17.0
bio_3,bio_6,0.3021255103176776,17.0
bio_4,bio_7,0.33720510717435,17.0
bio_5,bio_8,0.3174417501773058,17.0
bio_7,bio_10,0.33632136299268844,17.0
bio_8,bio_11,0.318745012496006,17.0
bio_9,bio_12,0.3012313771267042,17.0
bio_10,bio_13,0.33508863959258633,17.0
bio_11,bio_14,0.31995065782060905,17.0
bio_13,bio_16,0.3336085470984234,17.0
bio_14,bio_17,0.32096108673175017,17.0
bio_15,bio_18,0.3015127797309988,17.0
bio_1,bio_4,0.5406092155306319,18.0
bio_2,bio_5,0.5330717358705009,18.0
bio_2,bio_10,0.33235572679313397,18.0
bio_2,bio_13,0.23516214531048663,18.0
bio_2,bio_16,0.14520335559616881,18.0
bio_3,bio_6,0.5281615201611448,18.0
bio_3,bio_8,0.41503930569138625,18.0
bio_3,bio_11,0.3146834176997621,18.0
bio_3,bio_14,0.22028546691736675,18.0
bio_4,bio_7,0.5404476891132859,18.0
bio_5,bio_10,0.4425073859868615,18.0
bio_5,bio_13,0.3490687459415973,18.0
bio_5,bio_16,0.2615354195032353,18.0
bio_6,bio_11,0.43071685197488535,18.0
bio_6,bio_14,0.3409907597812484,18.0
bio_6,bio_17,0.2372445403722425,18.0
bio_7,bio_10,0.540138169298371,18.0
bio_8,bio_11,0.5339822829395113,18.0
bio_8,bio_16,0.36028038248410604,18.0
bio_9,bio_12,0.5278483617319046,18.0
bio_9,bio_17,0.3392479323004623,18.0
bio_10,bio_13,0.5397064240868512,18.0
bio_11,bio_14,0.5344045444100451,18.0
bio_11,bio_16,0.4651820253839077,18.0
bio_12,bio_17,0.4544408657656217,18.0
bio_13,bio_16,0.5391880410928168,18.0
bio_14,bio_17,0.5347584338907917,18.0
bio_15,bio_18,0.5279469193052445,18.0
