scenario_x,panel_id,energy_kwh,shading_loss_kwh,x,y,z,width,height,azimuth,tilt,level,scenario_y,area
Convencional,conv_1,0.9317219069729088,0.080779763573122,0.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_10,0.9495469173883664,0.06295475315766436,0.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_11,0.934143181820192,0.07835848872583887,3.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_12,0.934143181820192,0.07835848872583887,6.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_13,0.934143181820192,0.07835848872583887,9.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_14,0.934143181820192,0.07835848872583887,12.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_15,0.934143181820192,0.07835848872583887,15.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_16,0.934143181820192,0.07835848872583887,18.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_17,0.934143181820192,0.07835848872583887,21.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_18,0.9970979349778563,0.01540373556817451,24.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_2,0.9163181714047343,0.09618349914129651,3.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_3,0.9163181714047343,0.09618349914129651,6.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_4,0.9135499287791746,0.09895174176685619,9.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_5,0.9132069860956518,0.09929468445037896,12.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_6,0.9188860043955097,0.09361566615052105,15.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_7,0.929489725392127,0.0830119451539037,18.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_8,0.929489725392127,0.0830119451539037,21.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
Convencional,conv_9,0.9924444785497915,0.020057191996239336,24.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
