source,target,shade_factor,hour
conv_2,conv_1,0.5316227666488306,6.0
conv_3,conv_2,0.5316227666488306,6.0
conv_4,conv_3,0.5316227666488306,6.0
conv_5,conv_4,0.5316227666488306,6.0
conv_6,conv_5,0.5316227666488306,6.0
conv_7,conv_6,0.5316227666488306,6.0
conv_8,conv_7,0.5316227666488306,6.0
conv_9,conv_8,0.5316227666488306,6.0
conv_11,conv_10,0.5316227666488306,6.0
conv_12,conv_11,0.5316227666488306,6.0
conv_13,conv_1,0.2475174066060237,6.0
conv_13,conv_12,0.5316227666488306,6.0
conv_14,conv_1,0.14001527119306653,6.0
conv_14,conv_2,0.2475174066060237,6.0
conv_14,conv_13,0.5316227666488306,6.0
conv_15,conv_1,0.02854771060106583,6.0
conv_15,conv_2,0.14001527119306653,6.0
conv_15,conv_3,0.2475174066060237,6.0
conv_15,conv_14,0.5316227666488306,6.0
conv_16,conv_2,0.02854771060106583,6.0
conv_16,conv_3,0.14001527119306653,6.0
conv_16,conv_4,0.2475174066060237,6.0
conv_16,conv_15,0.5316227666488306,6.0
conv_17,conv_3,0.02854771060106583,6.0
conv_17,conv_4,0.14001527119306653,6.0
conv_17,conv_5,0.2475174066060237,6.0
conv_17,conv_16,0.5316227666488306,6.0
conv_18,conv_4,0.02854771060106583,6.0
conv_18,conv_5,0.14001527119306653,6.0
conv_18,conv_6,0.2475174066060237,6.0
conv_18,conv_17,0.5316227666488306,6.0
conv_2,conv_1,0.3120080971421431,7.0
conv_3,conv_2,0.3120080971421431,7.0
conv_4,conv_3,0.3120080971421431,7.0
conv_5,conv_4,0.3120080971421431,7.0
conv_6,conv_5,0.3120080971421431,7.0
conv_7,conv_6,0.3120080971421431,7.0
conv_8,conv_7,0.3120080971421431,7.0
conv_9,conv_8,0.3120080971421431,7.0
conv_11,conv_10,0.3120080971421431,7.0
conv_12,conv_11,0.3120080971421431,7.0
conv_13,conv_12,0.3120080971421431,7.0
conv_14,conv_13,0.3120080971421431,7.0
conv_15,conv_14,0.3120080971421431,7.0
conv_16,conv_15,0.3120080971421431,7.0
conv_17,conv_16,0.3120080971421431,7.0
conv_18,conv_17,0.3120080971421431,7.0
conv_2,conv_1,0.04310651679568361,8.0
conv_3,conv_2,0.04310651679568361,8.0
conv_4,conv_3,0.04310651679568361,8.0
conv_5,conv_4,0.04310651679568361,8.0
conv_6,conv_5,0.04310651679568361,8.0
conv_7,conv_6,0.04310651679568361,8.0
conv_8,conv_7,0.04310651679568361,8.0
conv_9,conv_8,0.04310651679568361,8.0
conv_11,conv_10,0.04310651679568361,8.0
conv_12,conv_11,0.04310651679568361,8.0
conv_13,conv_12,0.04310651679568361,8.0
conv_14,conv_13,0.04310651679568361,8.0
conv_15,conv_14,0.04310651679568361,8.0
conv_16,conv_15,0.04310651679568361,8.0
conv_17,conv_16,0.04310651679568361,8.0
conv_18,conv_17,0.04310651679568361,8.0
conv_1,conv_2,0.04310651679568361,16.0
conv_2,conv_3,0.04310651679568361,16.0
conv_3,conv_4,0.04310651679568361,16.0
conv_4,conv_5,0.04310651679568361,16.0
conv_5,conv_6,0.04310651679568361,16.0
conv_6,conv_7,0.04310651679568361,16.0
conv_7,conv_8,0.04310651679568361,16.0
conv_8,conv_9,0.04310651679568361,16.0
conv_10,conv_11,0.04310651679568361,16.0
conv_11,conv_12,0.04310651679568361,16.0
conv_12,conv_13,0.04310651679568361,16.0
conv_13,conv_14,0.04310651679568361,16.0
conv_14,conv_15,0.04310651679568361,16.0
conv_15,conv_16,0.04310651679568361,16.0
conv_16,conv_17,0.04310651679568361,16.0
conv_17,conv_18,0.04310651679568361,16.0
conv_1,conv_2,0.3120080971421431,17.0
